experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p03430,F3,0,1,68079,631,68710,,19.146613359451294,,0.07094788551330566,2.36116623878479,21.59612464904785,,,,1,0,0,0,,
experiment_20260821_162746,p03434,B1,0,1,89334,25176,114510,,63.80031704902649,,0.0,0.0,63.81658625602722,,,,0,0,0,0,,
experiment_20260821_162746,p03434,B2,0,1,169145,1,169146,,63.255581855773926,,0.0,0.0,63.25966477394104,,,,0,0,0,0,,
experiment_20260821_162746,p03434,F1,0,1,110995,551,111546,,19.01253056526184,,0.18642807006835938,8.055286407470703,27.28249955177307,,,,1,0,0,0,,
experiment_20260821_162746,p03434,F2,0,2,1276600,905,1277505,,136.9038586616516,,0.14403963088989258,3.892493724822998,140.9869933128357,,,,2,0,1,7,,
experiment_20260821_162746,p03434,F3,0,1,112536,361,112897,,22.194311380386353,,0.06215548515319824,1.5055394172668457,23.779197692871094,,,,1,0,0,0,,
experiment_20260821_162746,p03493,B1,0,1,64361,38790,103151,,68.61826825141907,,0.0,0.0,68.63890981674194,,,,0,0,0,0,,
experiment_20260821_162746,p03493,B2,0,1,96705,930,97635,,16.201337099075317,,0.08054780960083008,2.432748317718506,18.73887610435486,,,,1,0,0,0,,
experiment_20260821_162746,p03493,F1,0,1,97599,131,97730,,18.572786808013916,,0.05143451690673828,1.3768835067749023,20.020508766174316,,,,1,0,0,0,,
experiment_20260821_162746,p03493,F2,0,1,515307,109,515416,,43.733518838882446,,0.050379037857055664,1.5166418552398682,45.31770992279053,,,,1,0,0,0,,
experiment_20260821_162746,p03493,F3,0,1,95142,149,95291,,15.393615961074829,,0.062087059020996094,1.9402751922607422,17.414408683776855,,,,1,0,0,0,,
experiment_20260821_162746,p03510,B1,0,1,21421,11984,33405,,20.758349895477295,,0.0,0.0,20.77103328704834,,,,0,0,0,0,,
